ID,Species,Organization,Type,Source,No_Media
UCM:Amphibian and reptile specimens:UCM:Herp:44843,Bolitoglossa dofleini,UCM Herpetology Collection,Biological Specimen,iDigBio,1
smns:1545.1,Salamandrina perspicillata,Staatliches Museum für Naturkunde Stuttgart,Biological Specimen,User Created,0
usnm:amphibians & reptiles:249004,Chiropterotriton multidentatus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:231152,Pseudohynobius flavomaculatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:98409,Rhyacotriton variegatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
oumnh:10035,Eurycea longicauda,Oxford University Museum of Natural History,Biological Specimen,User Created,0
cas:herp:194247,Pachyhynobius shangchengensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:157832,Desmognathus apalachicolae,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
UF:Herp:162027,Amphiuma pholeter,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
usnm:amphibians & reptiles:319373,Gyrinophilus palleucus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:256836,Desmognathus wrighti,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
uf:herp:157360,Bolitoglossa mexicana,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:mvz:herp:221018,Aneides flavipunctatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:469959,Eurycea multiplicata,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mvz:amphibian and reptile specimens:mvz:herp:178849,Salamandrina terdigitata,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:269499,Bolitoglossa helmrichi,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
nhmuk:zoo:1957.1.7.49,Dicamptodon ensatus,Natural History Museum (London) Collection Specimens,Biological Specimen,iDigBio,0
cm:herps:10079,Plethodon cinereus,CM Herps Collection,Biological Specimen,iDigBio,0
uf:herp:93517,Pleurodeles waltl,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:mvz:herp:99629,Aneides vagrans,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:217548,Bolitoglossa rostrata,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
cas:sua:3471,Dicamptodon ensatus,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
uf:herp:156936,Desmognathus auriculatus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:196215,Siren intermedia,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
uf:herp:54626,Siren reticulata,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:546585,Eurycea cirrigera,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:177072,Triturus cristatus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
mvz:amphibian and reptile specimens:mvz:herp:84841,Plethodon elongatus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:329623,Bolitoglossa porrasorum,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
UCM:Amphibian and reptile specimens:UCM:Herp:22114,Ambystoma granulosum,UCM Herpetology Collection,Biological Specimen,iDigBio,1
nhmuk:II.II.2.1a,Amphiuma tridactylum,Natural History Museum (London) Collection Specimens,Biological Specimen,User Created,0
usnm:amphibians & reptiles:572797,Oedipina collaris,NMNH Extant Specimen Records,Biological Specimen,iDigBio,0
