ID,Species,Organization,Type,Source,No_Media
mcz:herp:a-138192,Xenopus itombwensis,MCZ Herpetology,Biological Specimen,iDigBio,3
uf:herp:185662,Hyperolius cinnamomeoventris,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
nhmuk:zoo:2002.1,Churamiti maridadi,Natural History Museum (London) Collection Specimens,Biological Specimen,iDigBio,0
cas:herp:260159,Hylarana lepus,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:22316,Glandirana rugosa,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:153377,Schismaderma carens,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
cas:herp:141967,Atelognathus patagonicus,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:192815,Atelopus franciscus,NMNH Extant Specimen Records,Biological Specimen,User Created,1
ku:kuh:320174,Occidozyga laevis,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
amnh:herpetology:a-124113,Hemiphractus elioti,AMNH Herpetology Collections,Biological Specimen,iDigBio,3
UCM:Amphibian and reptile specimens:UCM:Herp:42267,Tlalocohyla picta,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mnrj:40289,Brachycephalus brunneus,Coleção de Anfíbios do Museu Nacional (MNRJ),Biological Specimen,User Created,0
uta:uta-a:56559,Craugastor mexicanus,UTA Herpetology,Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:524100,Cophixalus cryptotympanum,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
amnh:herpetology:a-58038,Oreophryne anthonyi,AMNH Herpetology Collections,Biological Specimen,iDigBio,0
cas:herp:211614,Strongylopus grayii,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
nhmuk:zoo:2497.1,Xenopus longipes,Natural History Museum (London) Collection Specimens,Biological Specimen,User Created,1
uf:herp:185681,Hyperolius nasutus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
uf:herp:184186,Poyntonophrynus grandisonae,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
cas:herp:82641,Uperoleia rugosa,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
uf:herp:85720,Chrysopaa sternosignata,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:165089,Vandijkophrynus angusticeps,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mcz:herp:a-108655,Brachycephalus ephippium,MCZ Herpetology,Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:569373,Atelopus pulcher,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mnhn:ra:1936.47,Plethodontohyla alluaudi,The reptiles and amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris),Biological Specimen,iDigBio,1
mhnci:10274,Brachycephalus coloratus,Coleção de répteis e anfíbios,Biological Specimen,User Created,2
UCM:Amphibian and reptile specimens:UCM:Herp:41342,Eleutherodactylus nitidus,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mnrj:90349,Taxonomy indet.,Coleção de Anfíbios do Museu Nacional (MNRJ),Biological Specimen,User Created,0
usnm:amphibians & reptiles:116477,Craugastor mexicanus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:64054,Mixophyes balbus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
amnh:herpetology:a-79860,Myersiella microps,AMNH Herpetology Collections,Biological Specimen,iDigBio,3
ummz:herps:167132,Colostethus dunni,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,1
nhmuk:zoo:2088.32,Xenopus andrei,Natural History Museum (London) Collection Specimens,Biological Specimen,User Created,3
uf:herp:185680,Hyperolius nasutus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
uf:herp:184185,Poyntonophrynus grandisonae,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
cas:herp:82351,Adelotus brevis,CAS Herpetology (HERP),Biological Specimen,iDigBio,4
uf:herp:83888,Epipedobates tricolor,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:165087,Vandijkophrynus angusticeps,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mcz:herp:a-108657,Brachycephalus ephippium,MCZ Herpetology,Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:236904,Atelopus ignescens,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mnhn:ra:1901.235,Plethodontohyla alluaudi,The reptiles and amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris),Biological Specimen,iDigBio,1
mhnci:10295,Brachycephalus albolineatus,Coleção de répteis e anfíbios,Biological Specimen,User Created,2
UCM:Amphibian and reptile specimens:UCM:Herp:41302,Plectrohyla robertsorum,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mnrj:25398,Brachycephalus garbeanus,Coleção de Anfíbios do Museu Nacional (MNRJ),Biological Specimen,User Created,1
usnm:amphibians & reptiles:115468,Craugastor pygmaeus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:334053,Litoria aurea,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:103637,Leptodactylus fuscus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
zsm:601/2001,Wakea madinika,Zoologische Staatssammlung München (Bavarian State Collection of Zoology),Biological Specimen,User Created,1
nhmuk:zoo:2088.31,Xenopus boumbaensis,Natural History Museum (London) Collection Specimens,Biological Specimen,User Created,2
uf:herp:185679,Hyperolius nasutus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
uf:herp:184187,Poyntonophrynus grandisonae,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
cas:herp:6710,Hyla regilla,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:82421,Allopaa hazarensis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:53372,Pseudepidalea raddei,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
cas:herp:250237,Boophis boehmei,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:193825,Atelopus longirostris,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
zsm:89/2004,Plethodontohyla alluaudi,Zoologische Staatssammlung München (Bavarian State Collection of Zoology),Biological Specimen,User Created,1
uf:herp:43260,Leptodactylus andreae,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
UCM:Amphibian and reptile specimens:UCM:Herp:44303,Plectrohyla cyanomma,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mnrj:89949,Brachycephalus coloratus,Coleção de Anfíbios do Museu Nacional (MNRJ),Biological Specimen,User Created,0
uta:uta-a:56579,Craugastor mexicanus,UTA Herpetology,Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:306959,Trichobatrachus robustus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
amnh:herpetology:a-82291,Xenorhina mehelyi,AMNH Herpetology Collections,Biological Specimen,iDigBio,1
mcz:herp:a-21722,Hemisus guineensis,MCZ Herpetology,Biological Specimen,iDigBio,1
nhmuk:zoo:1947.2.24.79,Xenopus parafraseri,Natural History Museum (London) Collection Specimens,Biological Specimen,User Created,2
ku:kuh:153957,Chalcorana chalconota,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
ku:kuh:144113,Osornophryne bufoniformis,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
cas:herp:93309,Pipa pipa,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
uf:herp:109009,Hyla squirella,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:239873,Vandijkophrynus gariepensis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mcz:herp:a-108660,Brachycephalus ephippium,MCZ Herpetology,Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:279113,Atelopus varius,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:68066,Barycholos pulcher,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
uf:herp:10187,Hyla avivoca,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
UCM:Amphibian and reptile specimens:UCM:Herp:42537,Exerodonta pinorum,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mnrj:40290,Brachycephalus brunneus,Coleção de Anfíbios do Museu Nacional (MNRJ),Biological Specimen,User Created,0
usnm:amphibians & reptiles:116476,Craugastor mexicanus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
nhmw:33748.2,Leptodactylus pentadactylus,Department of Geology & Palaeontology,Biological Specimen,User Created,1
amnh:herpetology:a-73552,Stereocyclops incrassatus,AMNH Herpetology Collections,Biological Specimen,iDigBio,3
mtd:a:48744,Arthroleptis carquejai,"Senkenberg Natural History Collections Dresden, Museum of Zoology",Biological Specimen,User Created,2
nhmuk:zoo:19472.24.83,Xenopus tropicalis,Natural History Museum (London) Collection Specimens,Biological Specimen,User Created,1
uf:herp:185708,Tomopterna tuberculosa,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
ku:kuh:31376,Ascaphus montanus,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
cas:herp:91921,Pachymedusa dacnicolor,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:91683,Mannophryne olmonae,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:239871,Vandijkophrynus gariepensis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
mcz:herp:a-108602,Brachycephalus nodoterga,MCZ Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:569381,Atelopus pulcher,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:71742,Phyllobates bicolor,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
mhnci:10285,Brachycephalus curupira,Coleção de répteis e anfíbios,Biological Specimen,User Created,2
UCM:Amphibian and reptile specimens:UCM:Herp:48311,Plectrohyla hazelae,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mnrj:69646,Brachycephalus pulex,Coleção de Anfíbios do Museu Nacional (MNRJ),Biological Specimen,User Created,0
uta:uta-a:60777,Craugastor pygmaeus,UTA Herpetology,Biological Specimen,User Created,2
uf:herp:187281,Ptychadena anchietae,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
ku:kuh:164431,Osteocephalus verruciger,KUBI Herpetology Collection,Biological Specimen,iDigBio,0
mcz:herp:a-20518,Hemisus marmoratus,MCZ Herpetology,Biological Specimen,iDigBio,1
ncsm:ncsm-herp:76797,Xenopus mellotropicalis,NCSM Herpetology Collection,Biological Specimen,iDigBio,3
ncsm:herp:86708,Kurixalus odontotarsus,NCSM Herpetology Collection,Biological Specimen,iDigBio,2
ku:kuh:309249,Barbourula busuangensis,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
cas:herp:94249,Clinotarsus curtipes,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:137208,Ecnomiohyla miliaria,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:571101,Werneria mertensiana,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
cas:herp:211461,Buergeria japonica,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:129896,Atelopus zeteki,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:100822,Neobatrachus pictus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
zsm:694/2001,Rhombophryne coronata,Zoologische Staatssammlung München (Bavarian State Collection of Zoology),Biological Specimen,User Created,2
UCM:Amphibian and reptile specimens:UCM:Herp:45626,Ptychohyla euthysanota,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mnrj:17349,Brachycephalus pernix,Coleção de Anfíbios do Museu Nacional (MNRJ),Biological Specimen,User Created,0
uta:60776,Craugastor pygmaeus,UTA Herpetology,Biological Specimen,User Created,2
uf:herp:187280,Ptychadena anchietae,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
ku:kuh:169601,Osteocephalus verruciger,KUBI Herpetology Collection,Biological Specimen,iDigBio,0
mcz:herp:a-46703,Hemisus olivaceus,MCZ Herpetology,Biological Specimen,iDigBio,1
nhmuk:zoo:19472.24.84,Xenopus tropicalis,Natural History Museum (London) Collection Specimens,Biological Specimen,User Created,1
ku:kuh:215180,Allobates femoralis,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
ku:kuh:300435,Platymantis spelaeus,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
cas:herp:93317,Leptodactylus discodactylus,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:13474,Triprion petasatus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:571105,Werneria mertensiana,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
cas:herp:196532,Breviceps poweri,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:129893,Atelopus zeteki,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:80874,Oophaga pumilio,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
uf:herp:98441,Triprion petasatus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,5
UCM:Amphibian and reptile specimens:UCM:Herp:48521,Anaxyrus debilis,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mnrj:86411,Brachycephalus sulfuratus,Coleção de Anfíbios do Museu Nacional (MNRJ),Biological Specimen,User Created,0
uta:uta-a:64255,Craugastor mexicanus,UTA Herpetology,Biological Specimen,User Created,2
uf:herp:187295,Tomopterna sp.,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
ku:kuh:164416,Osteocephalus verruciger,KUBI Herpetology Collection,Biological Specimen,iDigBio,0
amnh:herpetology:a-158350,Xenopus sp.,AMNH Herpetology Collections,Biological Specimen,iDigBio,1
cas:herp:253689,Xenopus longipes,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
ncsm:herp:15659,Rana heckscheri,NCSM Herpetology Collection,Biological Specimen,iDigBio,1
ku:kuh:309278,Barbourula busuangensis,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
mcz:herp:a-16330,Bufo parkeri,MCZ Herpetology,Biological Specimen,iDigBio,1
uf:herp:137479,Scinax staufferi,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:571108,Wolterstorffina parvipalmata,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
cas:herp:125890,Cacosternum boettgeri,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:279119,Atelopus varius,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:107200,Ameerega trivittata,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
zsm:474/2005,Rhombophryne coronata,Zoologische Staatssammlung München (Bavarian State Collection of Zoology),Biological Specimen,User Created,2
UCM:Amphibian and reptile specimens:UCM:Herp:49952,Eleutherodactylus cystignathoides,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mnrj:87908,Brachycephalus tridactylus,Coleção de Anfíbios do Museu Nacional (MNRJ),Biological Specimen,User Created,0
uta:uta-a:64257,Craugastor mexicanus,UTA Herpetology,Biological Specimen,User Created,2
uf:herp:187283,Ptychadena oxyrhynchus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
ku:kuh:169598,Osteocephalus verruciger,KUBI Herpetology Collection,Biological Specimen,iDigBio,0
amnh:herpetology:a-158356,Xenopus sp.,AMNH Herpetology Collections,Biological Specimen,iDigBio,1
cas:herp:253699,Xenopus longipes,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
ncsm:herp:77863,Kurixalus bisacculus,NCSM Herpetology Collection,Biological Specimen,iDigBio,1
ku:kuh:322068,Platymantis pygmaeus,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
mcz:herp:a-22398,Bufo dombensis,MCZ Herpetology,Biological Specimen,iDigBio,1
uf:herp:169378,Pseudacris streckeri,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:571109,Wolterstorffina parvipalmata,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
cas:herp:156975,Cacosternum namaquense,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:66082,Bufo bankorensis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:73746,Hypsiboas boans,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
ku:kuh:340897,Rhombophryne nilevina,KUBI Herpetology Collection,Biological Specimen,iDigBio,2
UCM:Amphibian and reptile specimens:UCM:Herp:50983,Eleutherodactylus teretistes,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mnrj:87909,Brachycephalus tridactylus,Coleção de Anfíbios do Museu Nacional (MNRJ),Biological Specimen,User Created,0
uta:uta-a:64256,Craugastor mexicanus,UTA Herpetology,Biological Specimen,User Created,2
usnm:amphibians & reptiles:254922,Uperodon systoma,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
amnh:herpetology:a-106749,Arenophryne rotunda,AMNH Herpetology Collections,Biological Specimen,iDigBio,4
slu:herps:844,Lithobates capito,Southeastern Louisiana University Herpetology Collection,Biological Specimen,iDigBio,2
cas:herp:253707,Xenopus longipes,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
ncsm:herp:79411,Sylvirana nigrovittata,NCSM Herpetology Collection,Biological Specimen,iDigBio,3
ku:kuh:326750,Ingerophrynus philippinicus,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
cas:sua:2234,Xenopus laevis,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
uf:herp:16203,Pseudacris triseriata,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:586923,Ingerana tenasserimensis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,3
cas:herp:168818,Callulina kisiwamsitu,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:66083,Bufo bankorensis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:2109,Rana grylio,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
mnhn:ra:1953.165,Rhombophryne guentherpetersi,The reptiles and amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris),Biological Specimen,User Created,2
UCM:Amphibian and reptile specimens:UCM:Herp:52443,Exerodonta sumichrasti,UCM Herpetology Collection,Biological Specimen,iDigBio,1
mnrj:87910,Brachycephalus tridactylus,Coleção de Anfíbios do Museu Nacional (MNRJ),Biological Specimen,User Created,1
uta:uta-a:64258,Craugastor mexicanus,UTA Herpetology,Biological Specimen,User Created,2
mvz:amphibian and reptile specimens:mvz:herp:82711,Hemisus marmoratus,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,iDigBio,2
usnm:amphibians & reptiles:27956,Osteopilus septentrionalis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ncsm:ncsm-herp:84151,Lithobates capito,NCSM Herpetology Collection,Biological Specimen,iDigBio,2
mhng:zoo:2238.2,Xenopus ruwenzoriensis,Zoological Collections,Biological Specimen,User Created,1
ncsm:herp:90583,Rana kauffeldi,NCSM Herpetology Collection,Biological Specimen,iDigBio,1
ku:kuh:328715,Platymantis biak,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
cas:sua:10477,Strabomantis anomalus,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:179254,Eleutherodactylus ricordii,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
cas:herp:157090,Heleophryne purcelli,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
cas:herp:156600,Capensibufo sp.,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:11348,Bufo japonicus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:159097,Lithobates capito,FLMNH Division of Herpetology,Biological Specimen,iDigBio,3
zsm:1629/2012,Rhombophryne diadema,Zoologische Staatssammlung München (Bavarian State Collection of Zoology),Biological Specimen,User Created,2
UCM:Amphibian and reptile specimens:UCM:Herp:55580,Eleutherodactylus pallidus,UCM Herpetology Collection,Biological Specimen,iDigBio,1
MCZ:Herp:A-23848,Cophyla barbouri,MCZ Herpetology,Biological Specimen,iDigBio,1
uta:uta-a:64260,Craugastor mexicanus,UTA Herpetology,Biological Specimen,User Created,2
uf:herp:187212,Hoplobatrachus occipitalis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,0
usnm:amphibians & reptiles:63237,Eleutherodactylus cuneatus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ncsm:ncsm-herp:25247,Lithobates capito,NCSM Herpetology Collection,Biological Specimen,iDigBio,2
mhng:zoo:2645.85,Xenopus boumbaensis,Zoological Collections,Biological Specimen,User Created,1
ncsm:herp:85285,Rana johnsi,NCSM Herpetology Collection,Biological Specimen,iDigBio,1
ku:kuh:335697,Pseudobufo subasper,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
cas:sua:11456,Strabomantis cornutus,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:179255,Eleutherodactylus ricordii,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:281671,Scarthyla ostinodactyla,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
cas:herp:84998,Ceratophrys aurita,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:51998,Bufo japonicus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
uf:herp:64234,Pipa parva,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
zsm:608/2014,Rhombophryne guentherpetersi,Zoologische Staatssammlung München (Bavarian State Collection of Zoology),Biological Specimen,User Created,2
UCM:Amphibian and reptile specimens:UCM:Herp:56645,Phyllobates lugubris,UCM Herpetology Collection,Biological Specimen,iDigBio,1
TNHC:Herpetology:20238,Rana catesbeina,"University of Texas, Biodiversity Center, TNHC Herpetology Collection",Biological Specimen,iDigBio,1
uta:uta-a:64259,Craugastor mexicanus,UTA Herpetology,Biological Specimen,User Created,2
uf:herp:177877,Ecnomiohyla miotympanum,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:141602,Osteopilus septentrionalis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ncsm:ncsm-herp:84104,Lithobates capito,NCSM Herpetology Collection,Biological Specimen,iDigBio,2
mhng:zoo:2645.94,Xenopus longipes,Zoological Collections,Biological Specimen,User Created,2
ku:kuh:196717,Hyloxalus argyrogaster,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
ku:kuh:338414,Platymantis rabori,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
cas:sua:11451,Eleutherodactylus sulcatus,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:179256,Eleutherodactylus ricordii,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:267603,Nannophrys guentheri,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
ku:kuh:315000,Ceuthomantis smaragdinus,KUBI Herpetology Collection,Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:159110,Capensibufo rosei,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
cas:herp:254082,Trichobatrachus robustus,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:43205,Hemiphractus proboscideus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,4
UCM:Amphibian and reptile specimens:UCM:Herp:56646,Smilisca phaeota,UCM Herpetology Collection,Biological Specimen,iDigBio,1
musm:h:21540,Chiasmocleis devriesi,Departamento de Herpetología,Biological Specimen,User Created,1
uta:uta-a:64261,Craugastor pygmaeus,UTA Herpetology,Biological Specimen,User Created,1
uf:herp:27586,Breviceps poweri,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:141597,Osteopilus septentrionalis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ncsm:ncsm-herp:9118,Lithobates capito,NCSM Herpetology Collection,Biological Specimen,iDigBio,2
zmb:h:8255,Xenopus calcaratus,"Museum für Naturkunde, Berlin",Biological Specimen,User Created,0
ku:kuh:173293,Bryophryne cophites,KUBI Herpetology Collection,Biological Specimen,iDigBio,4
ku:kuh:341127,Discodeles bufoniformis,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
cas:sua:11752,Crossodactylus gaudichaudii,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:179257,Eleutherodactylus ricordii,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:58083,Discoglossus pictus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
cas:herp:253330,Chiromantis rufescens,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:159113,Capensibufo rosei,NMNH Extant Specimen Records,Biological Specimen,iDigBio,2
cas:herp:162679,Wolterstorffina parvipalmata,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
mcz:A:108602,Brachycephalus nodoterga,MCZ Herpetology,Biological Specimen,User Created,0
UCM:Amphibian and reptile specimens:UCM:Herp:60982,Hyla wrightorum,UCM Herpetology Collection,Biological Specimen,iDigBio,1
TNHC:Herpetology:27022,Gastrophryne usta,"University of Texas, Biodiversity Center, TNHC Herpetology Collection",Biological Specimen,iDigBio,1
uta:uta-a:64263,Craugastor pygmaeus,UTA Herpetology,Biological Specimen,User Created,2
uf:herp:151726,Osteopilus septentrionalis,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:27425,Osteopilus septentrionalis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
ncsm:ncsm-herp:28292,Lithobates capito,NCSM Herpetology Collection,Biological Specimen,iDigBio,1
cas:herp:130999,Bufo lughensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,0
ku:kuh:179333,Pristimantis duellmani,KUBI Herpetology Collection,Biological Specimen,iDigBio,1
mcz:herp:a-148037,Xenopus kobeli,MCZ Herpetology,Biological Specimen,iDigBio,2
cas:sua:11764,Hylodes perplicatus,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uf:herp:53483,Pseudacris nigrita,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
cas:herp:258235,Opisthothylax immaculatus,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
cas:herp:258122,Conraua crassipes,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
usnm:amphibians & reptiles:217659,Dendrophryniscus brevipollicatus,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
cas:sua:5171,Heleophryne purcelli,CAS Herpetology (HERP),Biological Specimen,iDigBio,2
mcz:A:108655,Brachycephalus ephippium,MCZ Herpetology,Biological Specimen,User Created,0
UCM:Amphibian and reptile specimens:UCM:Herp:61133,Craugastor talamancae,UCM Herpetology Collection,Biological Specimen,iDigBio,1
CAS:HERP:100927,Crinia insignifera,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
uta:uta-a:64264,Craugastor omiltemanus,UTA Herpetology,Biological Specimen,User Created,2
uf:herp:84491,Triprion petasatus,FLMNH Division of Herpetology,Biological Specimen,iDigBio,1
usnm:amphibians & reptiles:348804,Eleutherodactylus turquinensis,NMNH Extant Specimen Records,Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:134357,Pelobates syriacus,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
cas:herp:140251,Bufo lughensis,CAS Herpetology (HERP),Biological Specimen,iDigBio,0
