Year	Taxon	CountType	myCount
2015	unspecified Anura	CumulCount	2284
2016	unspecified Anura	CumulCount	2455
2017	unspecified Anura	CumulCount	2638
2018	unspecified Anura	CumulCount	3044
2019	unspecified Anura	CumulCount	3316
2020	unspecified Anura	CumulCount	3721
1992	unspecified Caudata	CumulCount	0
1993	unspecified Caudata	CumulCount	0
1994	unspecified Caudata	CumulCount	0
1995	unspecified Caudata	CumulCount	0
1996	unspecified Caudata	CumulCount	1
1997	unspecified Caudata	CumulCount	1
1998	unspecified Caudata	CumulCount	1
1999	unspecified Caudata	CumulCount	2
2000	unspecified Caudata	CumulCount	5
2001	unspecified Caudata	CumulCount	11
2002	unspecified Caudata	CumulCount	11
2003	unspecified Caudata	CumulCount	25
2004	unspecified Caudata	CumulCount	38
2005	unspecified Caudata	CumulCount	39
2006	unspecified Caudata	CumulCount	53
2007	unspecified Caudata	CumulCount	70
2008	unspecified Caudata	CumulCount	75
2009	unspecified Caudata	CumulCount	76
2010	unspecified Caudata	CumulCount	82
2011	unspecified Caudata	CumulCount	90
2012	unspecified Caudata	CumulCount	99
2013	unspecified Caudata	CumulCount	145
2014	unspecified Caudata	CumulCount	155
2015	unspecified Caudata	CumulCount	164
2016	unspecified Caudata	CumulCount	166
2017	unspecified Caudata	CumulCount	172
2018	unspecified Caudata	CumulCount	185
2019	unspecified Caudata	CumulCount	208
2020	unspecified Caudata	CumulCount	269
1992	unspecified Gymnophiona	CumulCount	0
1993	unspecified Gymnophiona	CumulCount	0
1994	unspecified Gymnophiona	CumulCount	0
1995	unspecified Gymnophiona	CumulCount	2
1996	unspecified Gymnophiona	CumulCount	2
1997	unspecified Gymnophiona	CumulCount	2
1998	unspecified Gymnophiona	CumulCount	2
1999	unspecified Gymnophiona	CumulCount	2
2000	unspecified Gymnophiona	CumulCount	2
2001	unspecified Gymnophiona	CumulCount	2
2002	unspecified Gymnophiona	CumulCount	17
2003	unspecified Gymnophiona	CumulCount	17
2004	unspecified Gymnophiona	CumulCount	23
2005	unspecified Gymnophiona	CumulCount	26
2006	unspecified Gymnophiona	CumulCount	29
2007	unspecified Gymnophiona	CumulCount	36
2008	unspecified Gymnophiona	CumulCount	38
2009	unspecified Gymnophiona	CumulCount	40
2010	unspecified Gymnophiona	CumulCount	53
2011	unspecified Gymnophiona	CumulCount	62
2012	unspecified Gymnophiona	CumulCount	127
2013	unspecified Gymnophiona	CumulCount	127
2014	unspecified Gymnophiona	CumulCount	130
2015	unspecified Gymnophiona	CumulCount	132
2016	unspecified Gymnophiona	CumulCount	132
2017	unspecified Gymnophiona	CumulCount	133
2018	unspecified Gymnophiona	CumulCount	141
2019	unspecified Gymnophiona	CumulCount	141
2020	unspecified Gymnophiona	CumulCount	142
